iter	Passed	Remaining
0	57	57438
1	57	28845
2	58	19302
3	58	14528
4	58	11660
5	58	9746
6	59	8380
7	59	7354
8	59	6555
9	59	5918
10	60	5399
11	60	4969
12	60	4600
13	60	4285
14	61	4009
15	61	3769
16	61	3557
17	61	3370
18	61	3201
19	62	3048
20	62	2912
21	62	2786
22	62	2673
23	63	2569
24	63	2473
25	63	2384
26	63	2301
27	64	2223
28	64	2153
29	64	2086
30	64	2024
31	65	1966
32	65	1912
33	65	1860
34	65	1812
35	65	1766
36	66	1722
37	66	1681
38	66	1642
39	66	1605
40	67	1569
41	67	1535
42	67	1507
43	67	1476
44	68	1447
45	68	1419
46	68	1393
47	69	1369
48	69	1345
49	69	1322
50	69	1299
51	70	1277
52	70	1256
53	70	1236
54	70	1216
55	71	1198
56	71	1180
57	71	1165
58	72	1149
59	72	1132
60	72	1117
61	72	1101
62	73	1086
63	73	1072
64	73	1058
65	73	1044
66	74	1030
67	74	1018
68	74	1005
69	74	992
70	74	980
71	75	969
72	75	957
73	75	946
74	75	935
75	76	925
76	76	915
77	76	905
78	76	896
79	77	887
80	77	877
81	77	868
82	77	858
83	77	849
84	78	841
85	78	832
86	78	824
87	78	816
88	79	809
89	79	801
90	79	793
91	79	786
92	79	778
93	80	771
94	80	765
95	80	759
96	80	753
97	81	746
98	81	740
99	81	734
100	81	728
101	82	723
102	82	719
103	82	714
104	83	708
105	83	703
106	83	698
107	84	694
108	84	689
109	84	684
110	84	680
111	85	675
112	85	670
113	85	665
114	85	661
115	86	656
116	86	651
117	86	648
118	87	645
119	87	641
120	87	636
121	87	631
122	88	627
123	88	623
124	88	619
125	88	615
126	88	610
127	89	607
128	89	603
129	89	599
130	89	595
131	90	592
132	90	588
133	90	584
134	90	581
135	90	577
136	91	574
137	91	571
138	91	567
139	91	564
140	92	561
141	92	557
142	92	554
143	92	550
144	92	547
145	93	544
146	93	541
147	93	538
148	93	535
149	94	532
150	94	530
151	94	527
152	94	524
153	94	521
154	95	518
155	95	516
156	95	513
157	95	511
158	96	508
159	96	505
160	96	502
161	96	500
162	96	497
163	97	495
164	97	492
165	97	490
166	97	487
167	97	485
168	98	482
169	98	480
170	98	478
171	98	476
172	99	474
173	99	472
174	99	470
175	100	469
176	100	467
177	100	465
178	100	463
179	101	461
180	101	458
181	101	457
182	102	455
183	102	454
184	102	452
185	103	450
186	103	449
187	103	447
188	103	445
189	104	443
190	104	441
191	104	439
192	104	437
193	104	436
194	105	434
195	105	432
196	105	430
197	105	429
198	106	427
199	106	425
200	106	424
201	106	422
202	107	420
203	107	418
204	107	417
205	107	415
206	108	413
207	108	412
208	108	410
209	108	408
210	108	407
211	109	405
212	109	404
213	109	402
214	109	400
215	109	399
216	110	397
217	110	396
218	110	394
219	110	393
220	111	392
221	111	390
222	111	389
223	111	387
224	112	386
225	112	385
226	112	383
227	112	382
228	113	380
229	113	379
230	113	378
231	113	376
232	114	375
233	114	374
234	114	372
235	114	371
236	115	370
237	115	369
238	115	367
239	115	367
240	116	366
241	116	364
242	116	363
243	116	362
244	117	361
245	117	359
246	117	358
247	118	358
248	118	357
249	118	356
250	118	354
251	119	353
252	119	352
253	119	351
254	119	350
255	120	348
256	120	347
257	120	346
258	120	345
259	121	344
260	121	343
261	121	342
262	121	341
263	122	340
264	122	339
265	122	338
266	122	336
267	122	335
268	123	334
269	123	333
270	123	332
271	123	331
272	124	330
273	124	329
274	124	328
275	124	327
276	125	326
277	125	325
278	125	324
279	126	324
280	126	323
281	126	322
282	126	321
283	126	320
284	127	319
285	127	318
286	127	317
287	127	316
288	128	315
289	128	314
290	128	313
291	128	312
292	129	311
293	129	310
294	129	310
295	129	309
296	130	308
297	130	307
298	130	306
299	131	305
300	131	305
301	131	304
302	131	303
303	132	302
304	132	301
305	132	301
306	133	300
307	133	299
308	133	298
309	133	297
310	133	296
311	134	295
312	134	295
313	134	294
314	135	293
315	135	293
316	135	292
317	135	291
318	136	290
319	136	289
320	136	288
321	136	287
322	137	287
323	137	286
324	137	285
325	137	284
326	137	283
327	138	283
328	138	282
329	138	281
330	138	280
331	139	279
332	139	278
333	139	278
334	139	277
335	140	276
